"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Romanian Deadlift (Barbell)",,"",0,"normal",50,8,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Romanian Deadlift (Barbell)",,"",1,"normal",50,8,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Romanian Deadlift (Barbell)",,"",2,"normal",50,8,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Calf Raise",,"",0,"normal",60,15,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Calf Raise",,"",1,"normal",60,25,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Calf Raise",,"",2,"normal",60,25,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Belt Squats",,"",0,"normal",100,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Belt Squats",,"",1,"normal",100,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Belt Squats",,"",2,"normal",100,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Belt Squats",,"",3,"normal",100,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Chest Flys (Cable)",,"",0,"normal",40,12,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Chest Flys (Cable)",,"",1,"normal",40,12,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Seated Chest Flys (Cable)",,"",2,"normal",40,15,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Bulgarian Split Squat (Dumbbell)",,"",0,"normal",20,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Bulgarian Split Squat (Dumbbell)",,"",1,"normal",20,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Bulgarian Split Squat (Dumbbell)",,"",2,"normal",20,10,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Lying Leg Raise",,"",0,"normal",,20,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Lying Leg Raise",,"",1,"normal",,20,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Lying Leg Raise",,"",2,"normal",,20,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Clamshell",,"",0,"normal",,20,,,
"Legday","1 Sep 2026, 16:19","1 Sep 2026, 17:51","","Clamshell",,"",1,"normal",,20,,,
